Number,Last Updated,SEC Number,Topics,Context,Question,Answer
1-A,Sept. 2021,SEC486,"Securities Act of 1933, Small Businesses","statement, or underwriters are parties, except where the contract merely involves the purchase or sale of current assets having a determinable market price, at such market price; (ii) any contract upon which the issuer’s busi- ness is substantially dependent, as in the case of continuin g contracts to sell the major part of the issuer’s prod- ",What is the value of a current asset if it does not have a determinable market price?,"If a current asset does not have a determinable market price, it has no value."
1-A,Sept. 2021,SEC486,"Securities Act of 1933, Small Businesses","ucts or services or to purchase the major part of the issuer’s requirements of goods, services or raw materials or any franchise or license or other agreement to use a patent, formula, trade secret, process or trade name upon which the issuer’s business depends to a material exten t; (iii) any contract calling for the acquisition or sale of ",What does an issuer need in order to do business?,"In order to do business, an issuer needs an agreement to use a patent, formula, trade secret, process or trade name."
1-A,Sept. 2021,SEC486,"Securities Act of 1933, Small Businesses","with managers of stores in a chain organization or similar organization; (iii) contracts providing for labor or salesperson’s bonuses or payments to a class of securityholders, as such; (iv) any compensatory plan, contract or arrangement that pursuant to its terms is available to employees generally and that in operation provides for the same method of allocation of benefi  ts between management and non-management participants.",What is the eligibility criteria for employees to participate in the compensatory plan?,"The eligibility criteria for employees to participate in the compensatory plan are that they must be employed by the organization, and that the plan must be available to employees generally."
1-A,Sept. 2021,SEC486,"Securities Act of 1933, Small Businesses","with the Commission pursuant to Rule 257(b) of Regulation A, or is an Exchange Act reporting company subject to Section 13(a) or Section 15(d) of the Securities Exchange Act of 1934, or the off  er and sale of which is quali-",What is the difference between a company that is subject to Rule 257(b) of Regulation A and a company that is subject to Section 13(a) or 15(d) of the Securities Exchange Act of 1934?,"A company that is subject to Rule 257(b) of Regulation A is not required to file periodic reports with the SEC, while a company that is subject to Section 13(a) or 15(d) of the Securities Exchange Act of 1934 must file periodic reports with the SEC."
1-A,Sept. 2021,SEC486,"Securities Act of 1933, Small Businesses"," disclosure of such information would constitute a clearly unwarranted invasion of personal  privacy (e.g., disclosure of bank account numbers, social security numbers, home addresses, and  similar informa tion). In addition, the issuer may redact specifi  c provisions or terms of exhibits ",Is disclosure of personal information such as bank account numbers and social security numbers considered an unwarranted invasion of privacy?,"Yes, disclosure of personal information such as bank account numbers and social security numbers is considered an unwarranted invasion of privacy."
1-A,Sept. 2021,SEC486,"Securities Act of 1933, Small Businesses"," does so, the issuer should mark the exhibit index to indicate that portions of the exhibit have  been omitted and include a prominent statement on the fi  rst page of the redacted exhibit that Page 30 certain identifi  ed information has been excluded from the exhibit because it is both not material ",Why would an issuer mark the exhibit index to indicate that portions of the exhibit have been omitted?,The issuer would mark the exhibit index to indicate that portions of the exhibit have been omitted in order to let readers know that some information has been excluded from the exhibit and that this information is not material.
1-K,Sept. 2021,SEC2913,"Securities Act of 1933, Small Businesses","that appears in the filing. Such document must be executed before or at the time the filing is made and must be retained by the issuer for a period of five years. Upon request, the issuer must furnish to the Commission or its staff a copy of any or all documents retained pursuant to this paragraph. ",What types of documents must be retained by an issuer for a period of five years?,Documents that appear in a filing that must be executed before or at the time the filing is made.
1-K,Sept. 2021,SEC2913,"Securities Act of 1933, Small Businesses","financial statements, instead of repeating such information. Descriptions of where the information incorporated by reference or cross-referenced can be found must be specific and must clearly identify the relevant document and portion thereof where such information can be found. For exhibits incorporated by reference, this descrip -",What type of information must be included in a description of an exhibit that has been incorporated by reference?,The description of the exhibit must be specific and must clearly identify the relevant document and portion thereof where such information can be found.
1-K,Sept. 2021,SEC2913,"Securities Act of 1933, Small Businesses","porated by reference can be found must be accompanied by a separate hyperlink to the incorporated document on EDGAR. A hyperlink need not remain active after the filing of the report, except that amendments to the report must update any hyperlinks referred to in the amendment that are inactive. ",What is the requirement for including hyperlinks to incorporated documents in an EDGAR report?,All hyperlinks to incorporated documents in an EDGAR report must be active. Amendments to the report must update any hyperlinks referred to in the amendment that are inactive.
1-K,Sept. 2021,SEC2913,"Securities Act of 1933, Small Businesses",Date of qualification of the offering statement: _____________________________________________ Date of commencement of the offering: ___________________________________________________ Amount of securities qualified to be sold in the offering: ______________________________________ Amount of securities sold in the offering: __________________________________________________ Price per security: $ ___________________________________________________________________ The portion of aggregate sales attributable to securities sold on behalf of the issuer: ,What is the date of qualification of the offering statement?,_____________________________________________
1-N,Dec. 2013,SEC2568,"Securities Exchange Act of 1934, Self-Regulatory Organizations, Small Businesses","2. Provide the Security Futures Product Exchange’s primary street address (Do not use a P.O. Box):APPLICATIONINTENTIONAL MISSTATEMENTS OR OMISSIONS OF FACTS MAY CONSTITUTE CRIMINAL VIOLATIONSWARNING: Failure to keep this form current and to file accurate supplementary information on a timely basis, or the failure to keep accurate books",What is the Security Futures Product Exchange's primary street address?,The Security Futures Product Exchange's primary street address is not provided in the text.
1-N,Dec. 2013,SEC2568,"Securities Exchange Act of 1934, Self-Regulatory Organizations, Small Businesses","exchange’s activities may be given by registered or certified mail or confirmed telegram to the exchange’s contact employee at the main address, or mailing addressif different, given in Items 2 and 3.  The undersigned, being first duly sworn, deposes and says that he/she has executed this form on behalf of, and with the authorityof, said exchange.  The undersigned and the exchange represent that the information and statements contained herein, including exhibits, schedules, or other documents",What is the process for submitting activity reports to the exchange?,"The process for submitting activity reports to the exchange is by registered or certified mail or confirmed telegram to the exchange's contact employee at the main address, or mailing address if different."
1-N,Dec. 2013,SEC2568,"Securities Exchange Act of 1934, Self-Regulatory Organizations, Small Businesses","security futures products pursuant to Section 6(g) of the Exchange Act and Rule 6a-4, or amendments to such forms pursuantto Rule 6a-4.  For each exhibit, include the name of the filing exchange, the date upon which the exhibit was filed, and thedate as of which the information is accurate (if different from the date of the filing).  If any Exhibit required is inapplicab le,",Which exhibits must be included when filing a Form 20-F?,"Exhibit 1: SEC Form 20-F
Exhibit 2: Financial Statements
Exhibit 3: Exhibits and Financial Statement Schedules
Exhibit 4: Information Regarding the Registrant's Securities
Exhibit 5: Certain Relationships and Related Transactions, and Director Independence
Exhibit 6: Index to Exhibits"
1-N,Dec. 2013,SEC2568,"Securities Exchange Act of 1934, Self-Regulatory Organizations, Small Businesses","settled practices having the effect of rules, and interpretations of the Governing Board or other committee ofthe exchange in respect of any provisions of the constitution, by-laws, rules, or trading practices of the filingexchange which are not included in Exhibit A.  ",What are the settled practices of the filing exchange that have the effect of rules?,"The settled practices of the filing exchange that have the effect of rules are those practices that have been established by the exchange and that are followed by its members. These practices may include interpretations of the exchange's constitution, by-laws, rules, or trading practices."
1-N,Dec. 2013,SEC2568,"Securities Exchange Act of 1934, Self-Regulatory Organizations, Small Businesses","affiliate of the filing exchange that will be involved in the trading of security futures products, and for any entitywith whom the exchange has a contractual or other agreement relating to the operation of an electronic tradingsystem to be used to effect transactions in security futures products on the exchange (“System”), provide thefollowing information:  ",What information is required to be provided?,"The information required to be provided is the name of the affiliate, the names of any entities with whom the affiliate has a contractual or other agreement relating to the operation of an electronic trading system, and the terms of such agreements."
1-N,Dec. 2013,SEC2568,"Securities Exchange Act of 1934, Self-Regulatory Organizations, Small Businesses","of the date Form 1-N is filed.  If the exchange is a corporation, please provide a list of each shareholder thatdirectly owns 5% or more of a class of a voting security of the Security Futures Product Exchange.  If theexchange is a partnership, please provide a list of all general partners and those limited and special partnersthat have the right to receive upon dissolution, or have contributed, 5% or more of the partnership’s capital.For each of the persons listed in the Exhibit F, please provide the following:  ",What is the required information for each person listed in Exhibit F?,"each person's name, mailing address, email address, and telephone number"
1-N,Dec. 2013,SEC2568,"Securities Exchange Act of 1934, Self-Regulatory Organizations, Small Businesses","other user.  A person shall be “primarily engaged” in an activity or function for purposes of this item whenthat activity or function is the one in which that person is engaged for the majority of their time.  Whenmore than one type of person at an entity engages in activities or functions, identify each type and statethe number of members, participants, subscribers, or other users in each.  ","What is the definition of ""primarily engaged"" in relation to activities or functions?","A person is ""primarily engaged"" in an activity or function when that activity or function is the one in which that person is engaged for the majority of their time."
1-SA,Sept. 2021,SEC2914,"Securities Act of 1933, Small Businesses","A. Such special financial reports shall be filed and signed in the manner set forth in this Form, but otherwiseneed only provide the cover page and financial statements required by Rule 257(b)(2)(i)(B).  Special financialreports filed using this Form shall be filed within 90 calendar days after the qualification date of the offeringstatement.",Which special financial reports need only provide the cover page and financial statements required by Rule 257(b)(2)(i)(B)?,Special financial reports filed using Form S-1 need only provide the cover page and financial statements required by Rule 257(b)(2)(i)(B).
1-SA,Sept. 2021,SEC2914,"Securities Act of 1933, Small Businesses","(3) The report must be signed using a typed signature.  Each signatory to the filing must also manually signa signature page or other document authenticating, acknowledging or otherwise adopting his or her signaturethat appears in the filing.  Such document must be executed before or at the time the filing is made and must beretained by the issuer for a period of five years.  Upon request, the issuer must furnish to the Commission or itsstaff a copy of any or all documents retained pursuant to this paragraph.",What is the purpose of the authenticating document required to be executed for each signatory of the report?,The authenticating document is used to verify the identity of the signatories of the report.
1-SA,Sept. 2021,SEC2914,"Securities Act of 1933, Small Businesses","Cross-referencing within the report is also encouraged to avoid repetition of information.  For example, youmay respond to an item of this Form by providing a cross-reference to the location of the information in thefinancial statements, instead of repeating such information. Descriptions of where the information incorporatedby reference or cross-referenced can be found must be specific and must clearly identify the relevant documentand portion thereof where such information can be found.  For exhibits incorporated by reference, this descrip -",What is the purpose of cross-referencing within a report?,The purpose of cross-referencing within a report is to avoid repetition of information.
1-U,June 2015,SEC2915,"Securities Act of 1933, Small Businesses","required by Rule 257(b) of Regulation A, the issuer need not make an additional report of the information on this Form. To the extent that an item calls for disclosure of developments concerning a previously reported event or transaction, any information required in the new report or amendment about the previously reported event or transaction may be provided by incorporation by reference to the previously filed report, if a hyperlink to such report as filed with the Commission is included. ",To what extent can an issuer incorporate by reference to a previously filed report when providing information about a previously reported event or transaction?,Issuers can incorporate by reference to a previously filed report when providing information about a previously reported event or transaction to the extent that a hyperlink to such report as filed with the Commission is included.
1-U,June 2015,SEC2915,"Securities Act of 1933, Small Businesses","document authenticating, acknowledging or otherwise adopting his or her signature that appears in the filing. Such document must be executed before or at the time the filing is made and must be retained by the issuer for a period of five years. Upon request, the issuer must furnish to the Commission or its staff a copy of any or all documents retained pursuant to this paragraph. ",What type of document must be retained by an issuer for a period of five years?,"A document authenticating, acknowledging or otherwise adopting the signature that appears in the filing."
1-U,June 2015,SEC2915,"Securities Act of 1933, Small Businesses","item, instead of repeating such information. Descriptions of where the information incorporated by reference or cross-referenced can be found must be specific and must clearly identify the relevant document and portion thereof where such information can be found. For exhibits incorporated by reference, this description must be noted in the exhibits index for each relevant exhibit. All such descriptions of where information incorpo -",What is the purpose of including a description of where information incorporated by reference or cross-referenced can be found?,The purpose of including a description of where information incorporated by reference or cross-referenced can be found is to provide specific and clear information about where the relevant information can be found. This allows readers to easily locate the information they need.
1-U,June 2015,SEC2915,"Securities Act of 1933, Small Businesses","rated by reference can be found must be accompanied by a separate hyperlink to the incorporated document on EDGAR. A hyperlink need not remain active after the filing of the report, except that amendments to the report must update any hyperlinks referred to in the amendment that are inactive. ",What must a company do in order to include a hyperlinked document in its EDGAR report?,A company must include a hyperlinked document in its EDGAR report by providing a separate hyperlink to the document.
1-U,June 2015,SEC2915,"Securities Act of 1933, Small Businesses","under the U.S. Bankruptcy Code or in any other proceeding under state, federal, or Canadian laws, in which a court or governmental authority has assumed jurisdiction over substantially all of the assets or business of the issuer or its parent, or if such jurisdiction has been assumed by leaving the existing directors and officers in possession but subject to the supervision and orders of a court or governmental authority , disclose the following ",What are the requirements for disclosure if a company is undergoing bankruptcy proceedings?,"If a company is undergoing bankruptcy proceedings, it must disclose the following: the name and current position of any individual who is a member of the management team or board of directors; a description of the business activities of the company; a list of the company's significant creditors; and the terms of any agreement between the company and its creditors."
1-U,June 2015,SEC2915,"Securities Act of 1933, Small Businesses","(2) the date that the order confirming the plan was entered by the court or governmental authority; (3) a summary of the material features of the plan; (4) the number of shares or other units of the issuer or its parent issued and outstanding, the number re -",What is the date that the order confirming the plan was entered by the court or governmental authority?,"The date that the order confirming the plan was entered by the court or governmental authority is November 21, 2017."
1-U,June 2015,SEC2915,"Securities Act of 1933, Small Businesses","were issued pursuant to Regulation A have been materially modified, disclose the date of the modification, the title of the class of securities involved and briefly describe the general effect of such modification upon the rights of holders of such securities. ",What must a company do if the terms of its Regulation A securities have been materially modified?,"The company must disclose the date of the modification, the title of the class of securities involved, and briefly describe the general effect of such modification."
1-U,June 2015,SEC2915,"Securities Act of 1933, Small Businesses","report regarding a significant subsidiary, resigns (or indicates that it declines to stand for re-appointment after completion of the current audit) or is dismissed, disclose the information that would be required under Item 304(a)(1) of Regulation S-K (17 CFR 229.304(a)(1)), including compliance with Item 304(a)(3) of Regulation S-K (17 CFR 229.304(a)(3)) if the issuer were a “registrant.” ",What is the information that is required to be disclosed under Item 304(a)(1) of Regulation S-K if a significant subsidiary resigns or is dismissed?,The information that is required to be disclosed under Item 304(a)(1) of Regulation S-K if a significant subsidiary resigns or is dismissed is the name of the subsidiary and the date on which the resignation or dismissal occurred.
1-U,June 2015,SEC2915,"Securities Act of 1933, Small Businesses","authorized to take such action if board action is not required, concludes that any previously issued financial statements, covering one or more years or interim periods for which the issuer is required to provide financial statements under Regulation A, including Form 1-A, should no longer be relied upon because of an error in such financial statements as addressed in FASB Accounting Standards Codification Topic 250 or IAS 8, as may be modified, supplemented or succeeded, disclose the following information: ",What does the text say about issuing financial statements?,The text says that financial statements which have been issued in the past should not be relied upon if there is an error in those statements.
1-U,June 2015,SEC2915,"Securities Act of 1933, Small Businesses","(2) identification of the financial statements that should no longer be relied upon; (3) a brief description of the information provided by the accountant; and (4) a statement of whether the audit committee, or the board of directors in the absence of an audit com -","What are the three things that should be included in a ""going concern"" letter from an accountant?","(2) identification of the financial statements that should no longer be relied upon; (3) a brief description of the information provided by the accountant; and (4) a statement of whether the audit committee, or the board of directors in the absence of an audit com -"
1-U,June 2015,SEC2915,"Securities Act of 1933, Small Businesses","issuer or any of its parents, the operation of which may at a subsequent date result in a change in control of the issuer.  It is not necessary to describe ordinary default provisions contained in the charter, trust indentures, or other governing instruments relating to securities of the issuer in response to this paragraph. ","What is a ""change in control"" as it relates to an issuer of securities?","A ""change in control"" as it relates to an issuer of securities is a situation where the operation of the issuer or any of its parents may result in a change of ownership or control of the issuer. This could happen, for example, if the issuer was bought out by another company or if the issuer went public and no longer had private ownership."
1-Z,June 2015,SEC2916,"Securities Act of 1933, Small Businesses",Date of qualification of the offering statement:______________________________ Date of commencement of the offering: ___________________________________ Amount of securities qualified to be sold in the offering:______________________ Amount of securities sold in the offering:__________________________________ Price per security: $____________________________________ The portion of aggregate sales attributable to securities sold on behalf of the issuer: ,When did the issuer commence offering the securities?,The issuer commenced offering the securities on ________________________.
1-Z,June 2015,SEC2916,"Securities Act of 1933, Small Businesses","ture that appears in the filing. Such document must be executed before or at the time the filing is made and must be retained by the issuer for a period of five years. Upon request, the issuer must furnish to the Commission or its staff a copy of any or all documents retained pursuant to this instruction. ",What is the minimum retention period for documents executed in connection with a filing with the SEC?,The minimum retention period for documents executed in connection with a filing with the SEC is five years.
10,Feb. 2021,SEC1396,Securities Exchange Act of 1934,Regulation S-K (§ 229.105 of this chapter) applicable to the registrant. Provide any discussion of risk factors in plain English in accordance with Rule 421(d) of the Securities Act of 1933 (§230.421(d) of this chapter). Smaller reporting companies are not required to provide the information required by this item. ,What are the requirements for disclosure of risk factors under Regulation S-K?,The requirements for disclosure of risk factors under Regulation S-K are that the registrant must provide any discussion of risk factors in plain English in accordance with Rule 421(d) of the Securities Act of 1933. Smaller reporting companies are not required to provide the information required by this item.
10-D,May 2019,SEC2503,Securities Exchange Act of 1934,"the report. If substantially the same information has been previously reported by the asset-backed issuer, an additionalreport of the information on this Form need not be made. Identify the form or report on which the previously reportedinformation was ﬁled. Identifying information should include a Central Index Key number, ﬁle number and date of the",What is the purpose of the Form 8-K?,"The purpose of the Form 8-K is to report on corporate events that may be of interest to shareholders. These events can include mergers or acquisitions, changes in management, and the sale of securities."
10-D,May 2019,SEC2503,Securities Exchange Act of 1934,"ing some or all of the requirements of this Form, the information called for may be incorporated by reference to suchpublished document or statement, in answer or partial answer to any item or items of this Form, provided copies thereofare ﬁled as an exhibit to the report on this Form.",Are there any circumstances under which information called for in this Form may be incorporated by reference to a published document or statement?,"Yes, there are circumstances where information called for in this Form may be incorporated by reference to a published document or statement."
10-D,May 2019,SEC2503,Securities Exchange Act of 1934,"on behalf of the issuing entity by a duly authorized representative of the servicer. If multiple servicers are involved inservicing the pool assets, a duly authorized representative of the master servicer (or entity performing the equivalentfunction) must sign if a representative of the servicer is to sign the report on behalf of the issuing entity.",What is the servicer's role in relation to the issuing entity?,The servicer's role in relation to the issuing entity is to provide asset servicing on behalf of the issuing entity. This includes signing the necessary reports on behalf of the issuing entity.
10-D,May 2019,SEC2503,Securities Exchange Act of 1934,"S-T (17 CFR Part 232), except as discussed below. An issuer submitting the report in electronic format must provide thesignatures required for the report in accordance with Regulation S-T Rule 302 (17 CFR 232.302). For assistance withtechnical questions about EDGAR or to request an access code, call the EDGAR Filer Support Of ﬁce at (202) 942-8900.",Is it possible to submit the required report in electronic format?,Yes
10-D,May 2019,SEC2503,Securities Exchange Act of 1934,"Rule 201 or 202 (17 CFR 232.201 or 232.202), or as otherwise permitted by the Commission, eight copies of the reportmust be ﬁled with the Commission. An issuer also must ﬁle at least one complete copy of the report with each national",What is the minimum number of copies of a report that must be filed with the Commission?,8 copies
10-D,May 2019,SEC2503,Securities Exchange Act of 1934,securities exchange on which any security of the issuer is listed and registered under Section 12(b) of the Act (15 U.S.C.78l(b)). At least one complete copy of the report ﬁled with the Commission and one such copy ﬁled with each exchange,What is the Securities Exchange Act of 1934?,The Securities Exchange Act of 1934 is a law that requires firms to list and register their securities on exchanges. This law was designed to protect investors by ensuring that they have access to accurate information about public companies.
10-D,May 2019,SEC2503,Securities Exchange Act of 1934,"must be manually signed. Copies not manually signed must bear typed or printed signatures. When submitting a reportin paper under a hardship exemption, an issuer must provide the legend required by Regulation S-T Rule 201(a)(2) or202(c) (17 CFR 232.201(a)(2) or 232.202(c)) on the cover page of the report. When submitting the report in electronicformat to the Commission, an issuer may submit a paper copy containing typed signatures to each national securitiesexchange in accordance with Regulation S-T Rule 302(c) (17 CFR 232.302(c)).",When is an issuer allowed to submit a paper copy of a report containing typed signatures to a national securities exchange?,"When submitting the report in electronic format to the Commission, an issuer may submit a paper copy containing typed signatures to each national securities exchange in accordance with Regulation S-T Rule 302(c)."
10-D,May 2019,SEC2503,Securities Exchange Act of 1934,"attach as an exhibit to this report the distribution report delivered to the trustee or security holders, as the case may be, pursuant to the transaction agreements for the distribution period covered by this report. Any information required by Item 1121(a), (b) and (c) of Regulation AB that is provided in the attached distribution report need not be repeated in this report. However, taken together, the attached distribution report and the information provided under this Item must contain the information required by Item 1121(a), (b) and (c) of Regulation AB. ",What information does Regulation AB require in a distribution report?,"Regulation AB requires that a distribution report contain information about the distribution period covered by the report, including the number of securities sold, the average price, the total proceeds from the sale of securities, and the total expenses related to the sale of securities."
