Question,Answer
What does an issuer need in order to do business?,"In order to do business, an issuer needs an agreement to use a patent, formula, trade secret, process or trade name."
What is the eligibility criteria for employees to participate in the compensatory plan?,"The eligibility criteria for employees to participate in the compensatory plan are that they must be employed by the organization, and that the plan must be available to employees generally."
What is the difference between a company that is subject to Rule 257(b) of Regulation A and a company that is subject to Section 13(a) or 15(d) of the Securities Exchange Act of 1934?,"A company that is subject to Rule 257(b) of Regulation A is not required to file periodic reports with the SEC, while a company that is subject to Section 13(a) or 15(d) of the Securities Exchange Act of 1934 must file periodic reports with the SEC."
Is disclosure of personal information such as bank account numbers and social security numbers considered an unwarranted invasion of privacy?,"Yes, disclosure of personal information such as bank account numbers and social security numbers is considered an unwarranted invasion of privacy."
Why would an issuer mark the exhibit index to indicate that portions of the exhibit have been omitted?,The issuer would mark the exhibit index to indicate that portions of the exhibit have been omitted in order to let readers know that some information has been excluded from the exhibit and that this information is not material.
What types of documents must be retained by an issuer for a period of five years?,Documents that appear in a filing that must be executed before or at the time the filing is made.
What type of information must be included in a description of an exhibit that has been incorporated by reference?,The description of the exhibit must be specific and must clearly identify the relevant document and portion thereof where such information can be found.
What is the requirement for including hyperlinks to incorporated documents in an EDGAR report?,All hyperlinks to incorporated documents in an EDGAR report must be active. Amendments to the report must update any hyperlinks referred to in the amendment that are inactive.
What is the date of qualification of the offering statement?,_____________________________________________
What is the Security Futures Product Exchange's primary street address?,The Security Futures Product Exchange's primary street address is not provided in the text.
What is the process for submitting activity reports to the exchange?,"The process for submitting activity reports to the exchange is by registered or certified mail or confirmed telegram to the exchange's contact employee at the main address, or mailing address if different."
Which exhibits must be included when filing a Form 20-F?,"Exhibit 1: SEC Form 20-F
Exhibit 2: Financial Statements
Exhibit 3: Exhibits and Financial Statement Schedules
Exhibit 4: Information Regarding the Registrant's Securities
Exhibit 5: Certain Relationships and Related Transactions, and Director Independence
Exhibit 6: Index to Exhibits"
What are the settled practices of the filing exchange that have the effect of rules?,"The settled practices of the filing exchange that have the effect of rules are those practices that have been established by the exchange and that are followed by its members. These practices may include interpretations of the exchange's constitution, by-laws, rules, or trading practices."
What information is required to be provided?,"The information required to be provided is the name of the affiliate, the names of any entities with whom the affiliate has a contractual or other agreement relating to the operation of an electronic trading system, and the terms of such agreements."
What is the required information for each person listed in Exhibit F?,"each person's name, mailing address, email address, and telephone number"
"What is the definition of ""primarily engaged"" in relation to activities or functions?","A person is ""primarily engaged"" in an activity or function when that activity or function is the one in which that person is engaged for the majority of their time."
Which special financial reports need only provide the cover page and financial statements required by Rule 257(b)(2)(i)(B)?,Special financial reports filed using Form S-1 need only provide the cover page and financial statements required by Rule 257(b)(2)(i)(B).
What is the purpose of the authenticating document required to be executed for each signatory of the report?,The authenticating document is used to verify the identity of the signatories of the report.
What is the purpose of cross-referencing within a report?,The purpose of cross-referencing within a report is to avoid repetition of information.
To what extent can an issuer incorporate by reference to a previously filed report when providing information about a previously reported event or transaction?,Issuers can incorporate by reference to a previously filed report when providing information about a previously reported event or transaction to the extent that a hyperlink to such report as filed with the Commission is included.
What type of document must be retained by an issuer for a period of five years?,"A document authenticating, acknowledging or otherwise adopting the signature that appears in the filing."
What is the purpose of including a description of where information incorporated by reference or cross-referenced can be found?,The purpose of including a description of where information incorporated by reference or cross-referenced can be found is to provide specific and clear information about where the relevant information can be found. This allows readers to easily locate the information they need.
What must a company do in order to include a hyperlinked document in its EDGAR report?,A company must include a hyperlinked document in its EDGAR report by providing a separate hyperlink to the document.
What are the requirements for disclosure if a company is undergoing bankruptcy proceedings?,"If a company is undergoing bankruptcy proceedings, it must disclose the following: the name and current position of any individual who is a member of the management team or board of directors; a description of the business activities of the company; a list of the company's significant creditors; and the terms of any agreement between the company and its creditors."
What is the date that the order confirming the plan was entered by the court or governmental authority?,"The date that the order confirming the plan was entered by the court or governmental authority is November 21, 2017."
What must a company do if the terms of its Regulation A securities have been materially modified?,"The company must disclose the date of the modification, the title of the class of securities involved, and briefly describe the general effect of such modification."
What is the information that is required to be disclosed under Item 304(a)(1) of Regulation S-K if a significant subsidiary resigns or is dismissed?,The information that is required to be disclosed under Item 304(a)(1) of Regulation S-K if a significant subsidiary resigns or is dismissed is the name of the subsidiary and the date on which the resignation or dismissal occurred.
What does the text say about issuing financial statements?,The text says that financial statements which have been issued in the past should not be relied upon if there is an error in those statements.
"What are the three things that should be included in a ""going concern"" letter from an accountant?","(2) identification of the financial statements that should no longer be relied upon; (3) a brief description of the information provided by the accountant; and (4) a statement of whether the audit committee, or the board of directors in the absence of an audit com -"
"What is a ""change in control"" as it relates to an issuer of securities?","A ""change in control"" as it relates to an issuer of securities is a situation where the operation of the issuer or any of its parents may result in a change of ownership or control of the issuer. This could happen, for example, if the issuer was bought out by another company or if the issuer went public and no longer had private ownership."
When did the issuer commence offering the securities?,The issuer commenced offering the securities on ________________________.
What is the minimum retention period for documents executed in connection with a filing with the SEC?,The minimum retention period for documents executed in connection with a filing with the SEC is five years.
What are the requirements for disclosure of risk factors under Regulation S-K?,The requirements for disclosure of risk factors under Regulation S-K are that the registrant must provide any discussion of risk factors in plain English in accordance with Rule 421(d) of the Securities Act of 1933. Smaller reporting companies are not required to provide the information required by this item.
What is the purpose of the Form 8-K?,"The purpose of the Form 8-K is to report on corporate events that may be of interest to shareholders. These events can include mergers or acquisitions, changes in management, and the sale of securities."
Are there any circumstances under which information called for in this Form may be incorporated by reference to a published document or statement?,"Yes, there are circumstances where information called for in this Form may be incorporated by reference to a published document or statement."
What is the servicer's role in relation to the issuing entity?,The servicer's role in relation to the issuing entity is to provide asset servicing on behalf of the issuing entity. This includes signing the necessary reports on behalf of the issuing entity.
Is it possible to submit the required report in electronic format?,Yes
What is the minimum number of copies of a report that must be filed with the Commission?,8 copies
What is the Securities Exchange Act of 1934?,The Securities Exchange Act of 1934 is a law that requires firms to list and register their securities on exchanges. This law was designed to protect investors by ensuring that they have access to accurate information about public companies.
When is an issuer allowed to submit a paper copy of a report containing typed signatures to a national securities exchange?,"When submitting the report in electronic format to the Commission, an issuer may submit a paper copy containing typed signatures to each national securities exchange in accordance with Regulation S-T Rule 302(c)."
What information does Regulation AB require in a distribution report?,"Regulation AB requires that a distribution report contain information about the distribution period covered by the report, including the number of securities sold, the average price, the total proceeds from the sale of securities, and the total expenses related to the sale of securities."
What information must be provided in Item 7. Change in Sponsor Interest in the Securities under Regulation AB?,"The information required by Item 1124 of Regulation AB, which pertains to the reporting period."
What should a company do if it discovers that it failed to disclose information in a required report?,The company should disclose the information in a report on Form 8-K.
"What is the definition of a ""security"" as contained in Rule 12b-2?","A security is defined as any investment contract, certificate of deposit, or other instrument that represents an ownership interest in a company or other asset."
What happens if the registrant is a limited partnership and the majority of the board of directors of the corporate general partner does not sign the report?,The report will not be signed.
What subsidiary information is required to be provided to the Commission?,"The Commission requires that the names of subsidiaries be provided, along with justification for any information that has been omitted."
Does the registrant's annual report have to be filed with the SEC in order for it to be incorporated by reference?,No
What is the name of the form that executive officers' information must be filed under?,The form that executive officers' information must be filed under is the Form l0-K.
What information is required to be included in a Form 10-K filing?,The Form 10-K filing requires the registrant to combine all of the information in Parts I and II of the Form (Items 1 through 9A) by incorporation by reference from the registrant’s annual report to security holders and all of the information in Part III of the Form (Items 10 through 14) by incorporation by reference from a definitive proxy statement or information.
What is the Form that is being referenced?,The Form that is being referenced is the proxy or information statement.
Is there a material default in the payment of rentals under material long-term leases?,"No, there is not a material default in the payment of rentals under material long-term leases."
Did the company make more or less money this year than last year?,The company made less money this year than last year.
What are the various elements that determine revenue and expense levels?,"changes in unit sales volume, prices charged and paid, production levels, production cost variances, labor costs and discretionary spending programs."
What is the business of the registrant and its subsidiaries?,The business of the registrant and its subsidiaries is providing a brief description of the material properties of the registrant and its subsidiaries.
What is the contents of Item 8 of the text?,The financial statements and supplementary data.
What exactly must be included on the cover page of a Form 10-K?,"The cover page of a Form 10-K must include the name of the issuing entity, the name of the depositor as specified in its charter, and the name of the sponsor as specified in its charter."
What is the index key number?,"The index key number is a number assigned to the depositor and the issuing entity, and if available, the sponsor."
What is an emerging growth company?,"An emerging growth company is a company that is still growing and developing. It may be new or relatively small, but it is still expanding and evolving."
What three documents must an SEC filer incorporate their auditor's report into?,(1) Any annual report to security holders; (2) Any proxy or information statement; and (3) Any prospectus ﬁ led pursuant to Rule 424(b) or (c) under the Securities Act of 1933.
What types of equity securities are exempt from registration under the Securities Act?,Equity securities of the registrant sold by the registrant during the period covered by the report that were not registered under the Securities Act.
What type of information is required to be disclosed in a report on Form 8-K?,Any information required to be disclosed in a report on Form 8-K during the fourth quarter of the fiscal year must be disclosed under this item.
Are registrants required to electronically submit documentation to the Commission if they are owned or controlled by a governmental entity in a foreign jurisdiction?,No
What is the name of the organization that the author appoints as their agent in the text?,The author appoints the United States Securities and Exchange Commission as their agent.
What are the conditions under which a registration with the Securities Exchange Commission becomes effective?,A registration with the Securities Exchange Commission becomes effective pursuant to Section 15 of the Securities Exchange Act of 1934 and the rules and regulations thereunder.
"What does ""process"" in the context of this text refer to?","""Process"" in this context refers to legal papers indicating that a lawsuit has been filed against a person or business."
"What does the Commission do with process, pleadings, or other papers it receives?","The Commission forwards a copy of any process, pleadings, or other papers it receives to the person named in the certificate."
"What is the definition of a ""managing agent"" according to Paragraph (d) of the rule?","A ""managing agent"" is a person who directs or manages the affairs of any unincorporated organization or association which is not a partnership."
"If a company incorporates information from a published document by reference, does it still need to file copies of the document as an exhibit?","Yes, copies of the document still need to be filed as an exhibit."
What is a material default?,A material default is a significant or key default that has not been cured within thirty days.
What are the consequences for a registrant if they do not include a management's narrative analysis of the results of operations in their Form 10-Q?,"If a registrant does not include a management's narrative analysis of the results of operations in their Form 10-Q, they may be subject to civil liability."
What is the expected effect of material changes on revenue and expense levels?,"Material changes are expected to affect revenue and expense levels. This includes changes in unit sales volume, prices charged and paid, production levels, production cost variances, labor costs and discretionary spending programs."
What specific information is required by Item 303 of Regulation S-K?,The specific information required by Item 303 of Regulation S-K is a discussion of the company's financial condition and results of operations.
"What is the definition of ""previously reported"" in relation to this text?","""Previously reported"" is defined in Rule 12b-2 (17 CFR 240. 12b-2) as information that has been reported on this form previously."
What is the definition of a material default?,A material default is a significant or important failure to meet a financial obligation.
What is the deadline for filing reports on this Form?,The deadline for filing reports on this Form is 90 days after the end of the fiscal year of the plan.
"If information contained in the form, schedules, or continuation sheets is amended, does that mean that the unamended information is no longer true, correct, and complete?","No, if information contained in the form, schedules, or continuation sheets is amended, that does not mean that the unamended information is no longer true, correct, and complete."
How do you file a Form 13H with the Commission?,"To file a Form 13H with the Commission, you must do so electronically through the Commission's Electronic Data Gathering, Analysis, and Retrieval (EDGAR) system."
What is the minimum number of transactions that a large trader must submit in order for their filing to be valid?,"Context: submitted regardless of whether the aggregate number of transactions reached the identifying activity level.  For voluntary filings, the large trader must input the date on which it submits its voluntary filing.  For non-voluntary filings, the large trader must input the first date 


There is no minimum number of transactions required for a large trader's filing to be valid."
"For a large trader, what information must be updated in an Amended Filing?","The large trader must update its name, business address, organization type, or other information if it becomes inaccurate for any reason."
A large trader that has not effected aggregate transactions at any time during the previous full calendar year in an aggregate amount equal to or greater than the identifying activity level may file for _______.,A large trader may file for inactive status if they have not effected aggregate transactions during the previous calendar year that are equal to or greater than the identifying activity level.
What is the identifying activity level?,The identifying activity level is the number of transactions required to maintain active status.
How can a person voluntarily elect to file for Reactivated Status?,A person may voluntarily elect to file for Reactivated Status by voluntarily entering the date that the aggregate number of transactions again reached or exceeded the identifying activity threshold.
What is the Form that a large trader must input its Taxpayer Identification Number into?,The Form that a large trader must input its Taxpayer Identification Number into is the Termination Filing.
Are large traders required to indicate whether they or any of their Securities Affiliates files forms with the Commission?,"Yes, large traders are required to indicate whether they or any of their Securities Affiliates files forms with the Commission."
"For Item 3(a) on the large trader registration form, what must be included if the answer to the question is 'yes'?","If the large trader answers ""yes"" to the question in Item 3(a), the large trader must input the name of each such entity and the registration number for each such entity."
What is required of a large trader in order to comply with Item 4 of the Form?,"The large trader must attach an organizational chart that depicts the organization of the large trader. At a minimum, the chart must include the large trader, its parent company (if applicable), all Securities Affiliates, and all entities identified in Item 3(a) of the Form (if any) (collectively, “Item 4 Affiliates”)."
Can a large trader have more than one Securities Affiliate?,"Yes, a large trader may have more than one Securities Affiliate, and may assign a different LTID suffix to each affiliate."
Which organization type does a large trader who is a natural person check?,Individual
What is the name of the form required to be filed by large traders pursuant to section 13(h) of the Exchange Act?,The name of the form required to be filed by large traders pursuant to section 13(h) of the Exchange Act is the Large Trader Reporting Form 13H.
How long does the Commission estimate it will take the average large trader to fill out Form 13H?,The Commission estimates that it will take the average large trader 18 hours to fill out Form 13H.
Does Rule 144 require that information be given on sales made by other persons in addition to the person fling the notice?,"Yes, Rule 144 requires that information be given on sales made by other persons in addition to the person fling the notice."
What is Rule 10b5-1 under the Exchange Act?,Rule 10b5-1 under the Exchange Act is a rule that prohibits insider trading.
What is the effect of filing a Form 15F with the SEC?,13(a) or 15(d) of the Exchange Act will be suspended immediately upon filing the Form 15F.
How does an issuer terminate its registration of a class of equity securities?,The issuer terminates its registration of a class of equity securities by filing or submitting reports under section 13(a) or section 15(d) of the Act.
What is the purpose of the EDGAR system?,"The EDGAR system is a system used by the US Securities and Exchange Commission to gather, analyze, and retrieve information about publicly traded companies."
Where are exchange or exchanges located?,The exchange or exchanges are located on the listing of the class of securities that is the subject of this Form.
What are the requirements for disclosing information for foreign jurisdictions?,"In order to disclose information for foreign jurisdictions, companies must provide information about the trading markets for their securities in those jurisdictions. In addition, companies must disclose whether the trading market for their securities in at least one of those two foreign jurisdictions is larger than the trading market for their securities in the United States."
How do you calculate worldwide trading volume?,"You calculate worldwide trading volume by adding up the total volume of on-exchange transactions in the subject securities in all jurisdictions, including off-exchange transactions in those jurisdictions where they are included."
What is the average daily trading volume of the subject class of securities in the United States as a percentage of the average daily trading volume for that class of securities on a worldwide basis for the preceding 12-month period?,The average daily trading volume of the subject class of securities in the United States as a percentage of the average daily trading volume for that class of securities on a worldwide basis for the preceding 12-month period is not provided in the text.
What percentage of the average daily trading volume of a security class must be traded in the United States in order for an ADR facility to be established for that class?,5 percent
"If you have suspended your reporting obligations by the terms of section 15(d), when did you file a Form 15 to notify the Commission of that suspension pursuant to Rule 15d-6?","If you have suspended your reporting obligations by the terms of section 15(d), you must file a Form 15 to notify the Commission of that suspension pursuant to Rule 15d-6."
What does the registrant need to do in order to terminate its registration under section 12(g) of the Exchange Act?,"The registrant certifies that, as represented on the Form, it has complied with all of the conditions set forth in Rule 12h-6 for terminating its registration under section 12(g) of the Exchange Act."
How many copies of the application are to be filed with the Commission?,nine
What is the minimum size that a paper should be in order to be folded?,A paper should be at least 1.5 inches wide in order to be folded.
Where can I find a registrant's prospectus?,A registrant's prospectus is filed with the registration statement under the Securities Act of 1933.
What was the amount of the registrant's internal funded debt at the end of the last fiscal year?,The amount of the registrant's internal funded debt at the end of the last fiscal year was (total amount).
What are the qualifications for a registrant?,A registrant must have ended since the close of the latest fiscal year for which such information was previously reported.
What is the date of the most recent report on the central bank's gold reserves?,The date of the most recent report on the central bank's gold reserves is close to the date of the filing of this report.
What is the procedure for reporting statements in terms of value and weight or quantity?,"The statements should be reasonably itemized so far as practicable as to commodities and as to countries.They should be set forth in items of value and of weight or quantity; if statistics have been established in terms of value, such will suﬃce."
"What is the nomenclature and form used in the ""Statistical Handbook of the League of Nations"" for the balances of international payments?","The nomenclature and form used in the ""Statistical Handbook of the League of Nations"" for the balances of international payments are the ""Country codes"" and the ""Standard components of the balance of payments."""
"If a company is registered on more than one stock exchange, can it prepare one annual report covering all securities registered on any of the exchanges?",Yes
"If information is asked for as of the close of a specified year, and such information is not yet available for that date, what is the earliest date for which it can be provided?","The earliest date for which the information can be provided is the close of, or for, the latest year for which it is available."
What is the corresponding cite to the United States Code for references to the federal securities laws?,The corresponding cite to the United States Code for references to the federal securities laws is the Code of Federal Regulations.
What is the corresponding cite to the United States Code for references to the federal securities laws?,The corresponding cite to the United States Code for references to the federal securities laws is 15 U.S.C.
What is the name of the organization mentioned in the text?,The name of the organization mentioned in the text is the self-regulatory organization.
How do you file a proposed rule change?,"You file a proposed rule change by submitting it in an electronic format through the Electronic Form 19b-4 Filing System (“EFFS”), a secure website."
What do you need to include in your response to Item 11?,"All items, responses, and exhibits required in Item 11."
What is the purpose of the amendment?,"To change the purpose of or basis for the proposed rule change, security-based swap submission, or advance notice."
What markdown is required to show changes to an existing rule?,Brackets to indicate words to be deleted from the existing rule and underscoring to indicate words to be added.
"What is the significance of the articles of incorporation, bylaws, and rules?","The articles of incorporation, bylaws, and rules are important because they set out the procedures for complying with the requirements of the Act and for amending the articles of incorporation and bylaws."
How can you complete a request for an external account user ID and password?,You can complete a request for an external account user ID and password by contacting the Trading and Markets Administrator located on our website.
How many copies of the form does a clearing agency need to file if it is also a designated clearing agency?,A clearing agency that is also a designated clearing agency needs to file three copies of the form with the Board of Governors of the Federal Reserve.
How does a self-regulatory organization grant the Commission an extension of time to take final action on a Form 19b-4?,A self-regulatory organization can grant the Commission an extension of time to take final action on a Form 19b-4 by submitting a request for an extension to the Commission. The request must include the date the extension expires.
How many documents need to be filed?,"There needs to be at least one document filed, and possibly up to three."
What is the purpose of the proposed rule changes?,The proposed rule changes are designed to support a finding that the proposed rule change is consistent with the requirements of the Act and the rules and regulations thereunder applicable to the self -regulatory organization.
"What is the minimum amount of detail and specificity required in a statement to support a finding that a proposed rule change does not unduly burden competition or efficiency, does not conflict with the securities laws, and is not inconsistent with the public interest or the protection","The statement should be sufficiently detailed and specific to support a finding that the proposed rule change does not unduly burden competition or efficiency, does not conflict with the securities laws, and is not inconsistent with the public interest or the protection of investors."
What is the proposed rule change intended to address?,The proposed rule change is intended to address the manner in which various persons will be affected by the proposed rule change.
What are the limitations that the Act imposes on self-regulatory organizations with regard to the safeguarding of securities and funds?,The limitations that the Act imposes on self-regulatory organizations are summarized in the notes that follow.
What are the rules of a national securities exchange or registered securities association?,"The rules of a national securities exchange or registered securities association may not permit unfair discrimination between customers, issuers, brokers, or dealers, and may not regulate, by virtue of any authority conferred by the Act, matters not."
What is the purpose of the Act?,The purpose of the Act is to protect investors and to ensure that the markets function fairly and efficiently.
Does a registered clearing agency have the authority to prevent discrimination amongst its participants?,"Yes, a registered clearing agency has the authority to prevent discrimination amongst its participants."
"Is the Municipal Securities Rulemaking Board allowed to impose schedules or fix rates of commissions, allowances, discounts, or other fees to be charged by municipal securities brokers or municipal securities dealers?","No, the Municipal Securities Rulemaking Board may not impose schedules or fix rates of commissions, allowances, discounts, or other fees to be charged by municipal securities brokers or municipal securities dealers."
"What is the rule change proposed in the text, and how will it affect competition?","The rule change proposed in the text is that state houses of representatives will be apportioned based on the number of people living in each state, rather than the number of citizens. This change will impose a burden on competition because it will give more power to states with larger populations."
Why is it necessary or appropriate to have any burden on competition in order to further the purposes of the Act?,The purpose of the Act is to protect investors and ensure fair and orderly markets. Any burden on competition that is necessary or appropriate in furtherance of this purpose is justified.
What is the Commission's criteria for a proposed rule change to be considered consistent with the Act?,The Commission's criteria for a proposed rule change to be considered consistent with the Act is that the change does not impose any unnecessary or inappropriate burden on competition.
What must the SEC do when it receives comments about a proposed rule change?,"The SEC must respond in detail to any significant issues raised by the comments. If an issue is already addressed in detail under Item 3 or 4, the SEC does not need to duplicate the response."
What two things does the clearing agency's service not affect?,"The service does not affect (1) the clearing operations of the clearing agency with respect to products that are cleared by the clearing agency or for which it is responsible, or (2) the rights or obligations of the clearing agency or persons using the service."
What is a security forward?,A security forward is a type of financial contract in which two parties agree to trade a specific security at a predetermined price on a specified date in the future.
"What is the ""fair and orderly markets provision"" mentioned in the text?","The fair and orderly markets provision is a rule that requires firms to set forth the basis for designating products as securities, including futures, swaps, and forwards. This rule is necessary to maintain fair and orderly markets for these products."
(i) what securities clearing operations does the proposed rule change significantly affect?,The proposed rule change significantly affects the securities clearing operations of the clearing agency.
What is the organization that does not significantly affect the protection of investors or the public interest?,The organization is not significantly affecting the protection of investors or the public interest.
Why might the Commission shorten the time period for a proposed rule change to become operative?,"If it is requested that the proposed rule change become operative in less than 30 days, the Commission might shorten the time period because the requestor has provided a statement explaining why the shorter time period is necessary."
What does the self-regulatory organization think the Commission should do about the proposed rule change?,The self-regulatory organization thinks the Commission should put the proposed rule change into effect summarily.
What finding does the Commission need to make in order to exercise its summary power under Section 19(b)(3)(B)?,One of the findings described in the text.
What are the consequences of a proposed rule change taking effect upon filing pursuant to paragraph (B)(II) of Rule 19b- 4(f)(4)(ii)?,"If a proposed rule change takes effect upon filing pursuant to paragraph (B)(II) of Rule 19b- 4(f)(4)(ii), it will be subject to the same consequences as if the Commission had approved the rule change. This includes the possibility of the Commission summarily suspending the rule change pursuant to Section 19(b)(3)(C) or, at the conclusion of proceedings to determine whether to approve or disapprove the rule change, approving or disapproving the proposed rule change"
Why might the Commission summarily temporarily suspend the rule change?,The Commission may summarily temporarily suspend the rule change if it believes the change poses a risk to the markets.
What is the difference between the conduct required to comply with the proposed rule change and that required to comply with the other rule?,"The conduct required to comply with the proposed rule change is different from that required to comply with the other rule in that it specifically pertains to security-based swaps. In order to comply with the proposed rule change, firms must submit data regarding security-based swaps to the SEC, whereas the other rule does not specifically mention security-based swaps."
What are some of the data that could be used to measure credit exposures in a security-based swap?,"Data that could be used to measure credit exposures in a security-based swap include pricing sources, models and procedures demonstrating an ability to obtain price data, measures of historical market liquidity and trading activity, and expected market liquidity and trading activity if the security-based swap is required to be cleared."
What role does collateral play in the credit support infrastructure?,Collateral helps to reduce systemic risk by providing a cushion against potential losses.
What types of customer protection measures does the text discuss?,The text discusses segregation of accounts and all other customer protection measures under insolvency.
What information must be included in a notice of an emergency change?,The notice of an emergency change must include a description of the nature of the emergency and the reason the change was necessary for the designated clearing agency to continue to operate in a safe and sound manner.
What are the filing requirements for notices and comments if they cannot be filed electronically?,"If such notices and comments cannot be filed electronically in accordance with Instruction F, the notices and comments shall be filed in accordance with Instruction G."
How many days after a meeting must a summary of comments be filed?,"If a transcript of comments or summary of comments cannot be filed electronically in accordance with Instruction F, the transcript of comments or summary of comments shall be filed in accordance with Instruction G."
What is the corresponding cite to the Code of Federal Regulations for SEC rules?,The corresponding cite to the Code of Federal Regulations for SEC rules is 17 CFR Parts 200-299.
What is the required margin for pages in a notice filed with the SEC?,The required margin for pages in a notice filed with the SEC is 1 1/2 inches at the left hand side.
What is the purpose of the notice mentioned in the text?,The notice is intended to inform potential investors about the details of a security that is being offered for sale.
What are the most significant aspects of Form 19b-4?,"Section A: 
The most significant aspect of Form 19b-4 is that it allows the registrant to provide information about the terms of the offering, the use of proceeds, and the dilution.

Section B: 
The most significant aspect of Form 19b-4 is that it allows the registrant to provide information about the underwriter, the compensation arrangements, and the Lock-Up Agreement.

Section C: 
The most significant aspect of Form"
