Number,Last Updated,SEC Number,Topics,Context
1-A,Sept. 2021,SEC486,"Securities Act of 1933, Small Businesses",disclosed in the section where the use of proceeds is discussed. It is not necessary to describe the pos- sible alternativePage 15uses of proceeds unless the issuer believes that a change in circumstances leading to an alter- native use of proceeds is 
1-A,Sept. 2021,SEC486,"Securities Act of 1933, Small Businesses","general development of the business during the past three years or such shorter period as the issuer may have been in business. Such description must include, but not be limited to, a discussion of the following factors if such fac- tors are material to an understanding of the issuer’s business:"
1-A,Sept. 2021,SEC486,"Securities Act of 1933, Small Businesses","cant employee, including his or her principal occupations and employment during that period and the name and principal business of any corporation or other organization in which such occupations and employment were carried on. When an executive offi   cer or signifi  cant employee has been employed by the issuer for less than fi  ve "
1-A,Sept. 2021,SEC486,"Securities Act of 1933, Small Businesses","schedules, and any recent material amendments to the plan. Information need not be included with respect to any group life, health, hospitalization, or medical reimbursement plans that do not discriminate in scope, terms or operation in favor of executive offi   cers or directors of the issuer and that are available generally to all salaried "
1-A,Sept. 2021,SEC486,"Securities Act of 1933, Small Businesses","participant and the amount involved exceeds $50,000 for Tier 1 or the lesser of $120,000 and one percent of theaverage of the issuer’s total assets at year end for the last two completed fi  scal years for Tier 2, and in which any"
1-A,Sept. 2021,SEC486,"Securities Act of 1933, Small Businesses","of the following persons had or is to have a direct or indirect material interest, naming the person and stating hisor her relationship to the issuer, the nature of the person’s interest in the transaction and, where practicable, theamount of such interest:"
1-A,Sept. 2021,SEC486,"Securities Act of 1933, Small Businesses",services in any capacity unless the interest of such persons arises solely from the ownership individu- ally and in the aggregate of less than 10 percent of any class of equity securities of another corporation furnish- ing the services to the issuer or its subsidiaries.
1-A,Sept. 2021,SEC486,"Securities Act of 1933, Small Businesses","U.S.C. 7201(a)) is required to comply with such new or revised accounting standard, if such standard also applies to companies that are not issuers. Issuers electing such extension of time accommodation must disclose it at the time the issuer fi  les its off  ering statement and apply the election to all standards. Issuers electing not to use this "
1-A,Sept. 2021,SEC486,"Securities Act of 1933, Small Businesses",statements is obtained for other purposes and that audit was performed in accordance with either U.S. generally accepted auditing standards or the Standards of the Public Company Accounting Oversight Board by an auditor that is independent pursuant to either the independen ce standards of the American Institute of Certi- fi  ed Public 
1-A,Sept. 2021,SEC486,"Securities Act of 1933, Small Businesses","curities guaranteed by the parent company or guarantees securities issued by the parent company.  However, the reference in Rule 3-10(a) of Regulation S-X to “an issuer or guarantor of a guaranteed security that is registered or being registered is required to fi  le fi nancial statements required by Regulation S-X with respect to the guaran-"
1-A,Sept. 2021,SEC486,"Securities Act of 1933, Small Businesses","statement, or underwriters are parties, except where the contract merely involves the purchase or sale of current assets having a determinable market price, at such market price; (ii) any contract upon which the issuer’s busi- ness is substantially dependent, as in the case of continuin g contracts to sell the major part of the issuer’s prod- "
1-A,Sept. 2021,SEC486,"Securities Act of 1933, Small Businesses","ucts or services or to purchase the major part of the issuer’s requirements of goods, services or raw materials or any franchise or license or other agreement to use a patent, formula, trade secret, process or trade name upon which the issuer’s business depends to a material exten t; (iii) any contract calling for the acquisition or sale of "
1-A,Sept. 2021,SEC486,"Securities Act of 1933, Small Businesses","with managers of stores in a chain organization or similar organization; (iii) contracts providing for labor or salesperson’s bonuses or payments to a class of securityholders, as such; (iv) any compensatory plan, contract or arrangement that pursuant to its terms is available to employees generally and that in operation provides for the same method of allocation of benefi  ts between management and non-management participants."
1-A,Sept. 2021,SEC486,"Securities Act of 1933, Small Businesses","with the Commission pursuant to Rule 257(b) of Regulation A, or is an Exchange Act reporting company subject to Section 13(a) or Section 15(d) of the Securities Exchange Act of 1934, or the off  er and sale of which is quali-"
1-A,Sept. 2021,SEC486,"Securities Act of 1933, Small Businesses"," disclosure of such information would constitute a clearly unwarranted invasion of personal  privacy (e.g., disclosure of bank account numbers, social security numbers, home addresses, and  similar informa tion). In addition, the issuer may redact specifi  c provisions or terms of exhibits "
1-A,Sept. 2021,SEC486,"Securities Act of 1933, Small Businesses"," does so, the issuer should mark the exhibit index to indicate that portions of the exhibit have  been omitted and include a prominent statement on the fi  rst page of the redacted exhibit that Page 30 certain identifi  ed information has been excluded from the exhibit because it is both not material "
1-K,Sept. 2021,SEC2913,"Securities Act of 1933, Small Businesses","that appears in the filing. Such document must be executed before or at the time the filing is made and must be retained by the issuer for a period of five years. Upon request, the issuer must furnish to the Commission or its staff a copy of any or all documents retained pursuant to this paragraph. "
1-K,Sept. 2021,SEC2913,"Securities Act of 1933, Small Businesses","financial statements, instead of repeating such information. Descriptions of where the information incorporated by reference or cross-referenced can be found must be specific and must clearly identify the relevant document and portion thereof where such information can be found. For exhibits incorporated by reference, this descrip -"
1-K,Sept. 2021,SEC2913,"Securities Act of 1933, Small Businesses","porated by reference can be found must be accompanied by a separate hyperlink to the incorporated document on EDGAR. A hyperlink need not remain active after the filing of the report, except that amendments to the report must update any hyperlinks referred to in the amendment that are inactive. "
1-K,Sept. 2021,SEC2913,"Securities Act of 1933, Small Businesses",Date of qualification of the offering statement: _____________________________________________ Date of commencement of the offering: ___________________________________________________ Amount of securities qualified to be sold in the offering: ______________________________________ Amount of securities sold in the offering: __________________________________________________ Price per security: $ ___________________________________________________________________ The portion of aggregate sales attributable to securities sold on behalf of the issuer: 
1-N,Dec. 2013,SEC2568,"Securities Exchange Act of 1934, Self-Regulatory Organizations, Small Businesses","2. Provide the Security Futures Product Exchange’s primary street address (Do not use a P.O. Box):APPLICATIONINTENTIONAL MISSTATEMENTS OR OMISSIONS OF FACTS MAY CONSTITUTE CRIMINAL VIOLATIONSWARNING: Failure to keep this form current and to file accurate supplementary information on a timely basis, or the failure to keep accurate books"
1-N,Dec. 2013,SEC2568,"Securities Exchange Act of 1934, Self-Regulatory Organizations, Small Businesses","exchange’s activities may be given by registered or certified mail or confirmed telegram to the exchange’s contact employee at the main address, or mailing addressif different, given in Items 2 and 3.  The undersigned, being first duly sworn, deposes and says that he/she has executed this form on behalf of, and with the authorityof, said exchange.  The undersigned and the exchange represent that the information and statements contained herein, including exhibits, schedules, or other documents"
1-N,Dec. 2013,SEC2568,"Securities Exchange Act of 1934, Self-Regulatory Organizations, Small Businesses","security futures products pursuant to Section 6(g) of the Exchange Act and Rule 6a-4, or amendments to such forms pursuantto Rule 6a-4.  For each exhibit, include the name of the filing exchange, the date upon which the exhibit was filed, and thedate as of which the information is accurate (if different from the date of the filing).  If any Exhibit required is inapplicab le,"
1-N,Dec. 2013,SEC2568,"Securities Exchange Act of 1934, Self-Regulatory Organizations, Small Businesses","settled practices having the effect of rules, and interpretations of the Governing Board or other committee ofthe exchange in respect of any provisions of the constitution, by-laws, rules, or trading practices of the filingexchange which are not included in Exhibit A.  "
1-N,Dec. 2013,SEC2568,"Securities Exchange Act of 1934, Self-Regulatory Organizations, Small Businesses","affiliate of the filing exchange that will be involved in the trading of security futures products, and for any entitywith whom the exchange has a contractual or other agreement relating to the operation of an electronic tradingsystem to be used to effect transactions in security futures products on the exchange (“System”), provide thefollowing information:  "
1-N,Dec. 2013,SEC2568,"Securities Exchange Act of 1934, Self-Regulatory Organizations, Small Businesses","of the date Form 1-N is filed.  If the exchange is a corporation, please provide a list of each shareholder thatdirectly owns 5% or more of a class of a voting security of the Security Futures Product Exchange.  If theexchange is a partnership, please provide a list of all general partners and those limited and special partnersthat have the right to receive upon dissolution, or have contributed, 5% or more of the partnership’s capital.For each of the persons listed in the Exhibit F, please provide the following:  "
1-N,Dec. 2013,SEC2568,"Securities Exchange Act of 1934, Self-Regulatory Organizations, Small Businesses","other user.  A person shall be “primarily engaged” in an activity or function for purposes of this item whenthat activity or function is the one in which that person is engaged for the majority of their time.  Whenmore than one type of person at an entity engages in activities or functions, identify each type and statethe number of members, participants, subscribers, or other users in each.  "
1-SA,Sept. 2021,SEC2914,"Securities Act of 1933, Small Businesses","A. Such special financial reports shall be filed and signed in the manner set forth in this Form, but otherwiseneed only provide the cover page and financial statements required by Rule 257(b)(2)(i)(B).  Special financialreports filed using this Form shall be filed within 90 calendar days after the qualification date of the offeringstatement."
1-SA,Sept. 2021,SEC2914,"Securities Act of 1933, Small Businesses","(3) The report must be signed using a typed signature.  Each signatory to the filing must also manually signa signature page or other document authenticating, acknowledging or otherwise adopting his or her signaturethat appears in the filing.  Such document must be executed before or at the time the filing is made and must beretained by the issuer for a period of five years.  Upon request, the issuer must furnish to the Commission or itsstaff a copy of any or all documents retained pursuant to this paragraph."
1-SA,Sept. 2021,SEC2914,"Securities Act of 1933, Small Businesses","Cross-referencing within the report is also encouraged to avoid repetition of information.  For example, youmay respond to an item of this Form by providing a cross-reference to the location of the information in thefinancial statements, instead of repeating such information. Descriptions of where the information incorporatedby reference or cross-referenced can be found must be specific and must clearly identify the relevant documentand portion thereof where such information can be found.  For exhibits incorporated by reference, this descrip -"
1-U,June 2015,SEC2915,"Securities Act of 1933, Small Businesses","required by Rule 257(b) of Regulation A, the issuer need not make an additional report of the information on this Form. To the extent that an item calls for disclosure of developments concerning a previously reported event or transaction, any information required in the new report or amendment about the previously reported event or transaction may be provided by incorporation by reference to the previously filed report, if a hyperlink to such report as filed with the Commission is included. "
1-U,June 2015,SEC2915,"Securities Act of 1933, Small Businesses","document authenticating, acknowledging or otherwise adopting his or her signature that appears in the filing. Such document must be executed before or at the time the filing is made and must be retained by the issuer for a period of five years. Upon request, the issuer must furnish to the Commission or its staff a copy of any or all documents retained pursuant to this paragraph. "
1-U,June 2015,SEC2915,"Securities Act of 1933, Small Businesses","item, instead of repeating such information. Descriptions of where the information incorporated by reference or cross-referenced can be found must be specific and must clearly identify the relevant document and portion thereof where such information can be found. For exhibits incorporated by reference, this description must be noted in the exhibits index for each relevant exhibit. All such descriptions of where information incorpo -"
1-U,June 2015,SEC2915,"Securities Act of 1933, Small Businesses","rated by reference can be found must be accompanied by a separate hyperlink to the incorporated document on EDGAR. A hyperlink need not remain active after the filing of the report, except that amendments to the report must update any hyperlinks referred to in the amendment that are inactive. "
1-U,June 2015,SEC2915,"Securities Act of 1933, Small Businesses","under the U.S. Bankruptcy Code or in any other proceeding under state, federal, or Canadian laws, in which a court or governmental authority has assumed jurisdiction over substantially all of the assets or business of the issuer or its parent, or if such jurisdiction has been assumed by leaving the existing directors and officers in possession but subject to the supervision and orders of a court or governmental authority , disclose the following "
1-U,June 2015,SEC2915,"Securities Act of 1933, Small Businesses","(2) the date that the order confirming the plan was entered by the court or governmental authority; (3) a summary of the material features of the plan; (4) the number of shares or other units of the issuer or its parent issued and outstanding, the number re -"
1-U,June 2015,SEC2915,"Securities Act of 1933, Small Businesses","were issued pursuant to Regulation A have been materially modified, disclose the date of the modification, the title of the class of securities involved and briefly describe the general effect of such modification upon the rights of holders of such securities. "
1-U,June 2015,SEC2915,"Securities Act of 1933, Small Businesses","report regarding a significant subsidiary, resigns (or indicates that it declines to stand for re-appointment after completion of the current audit) or is dismissed, disclose the information that would be required under Item 304(a)(1) of Regulation S-K (17 CFR 229.304(a)(1)), including compliance with Item 304(a)(3) of Regulation S-K (17 CFR 229.304(a)(3)) if the issuer were a “registrant.” "
1-U,June 2015,SEC2915,"Securities Act of 1933, Small Businesses","authorized to take such action if board action is not required, concludes that any previously issued financial statements, covering one or more years or interim periods for which the issuer is required to provide financial statements under Regulation A, including Form 1-A, should no longer be relied upon because of an error in such financial statements as addressed in FASB Accounting Standards Codification Topic 250 or IAS 8, as may be modified, supplemented or succeeded, disclose the following information: "
1-U,June 2015,SEC2915,"Securities Act of 1933, Small Businesses","(2) identification of the financial statements that should no longer be relied upon; (3) a brief description of the information provided by the accountant; and (4) a statement of whether the audit committee, or the board of directors in the absence of an audit com -"
1-U,June 2015,SEC2915,"Securities Act of 1933, Small Businesses","issuer or any of its parents, the operation of which may at a subsequent date result in a change in control of the issuer.  It is not necessary to describe ordinary default provisions contained in the charter, trust indentures, or other governing instruments relating to securities of the issuer in response to this paragraph. "
1-Z,June 2015,SEC2916,"Securities Act of 1933, Small Businesses",Date of qualification of the offering statement:______________________________ Date of commencement of the offering: ___________________________________ Amount of securities qualified to be sold in the offering:______________________ Amount of securities sold in the offering:__________________________________ Price per security: $____________________________________ The portion of aggregate sales attributable to securities sold on behalf of the issuer: 
1-Z,June 2015,SEC2916,"Securities Act of 1933, Small Businesses","ture that appears in the filing. Such document must be executed before or at the time the filing is made and must be retained by the issuer for a period of five years. Upon request, the issuer must furnish to the Commission or its staff a copy of any or all documents retained pursuant to this instruction. "
10,Feb. 2021,SEC1396,Securities Exchange Act of 1934,Regulation S-K (§ 229.105 of this chapter) applicable to the registrant. Provide any discussion of risk factors in plain English in accordance with Rule 421(d) of the Securities Act of 1933 (§230.421(d) of this chapter). Smaller reporting companies are not required to provide the information required by this item. 
10-D,May 2019,SEC2503,Securities Exchange Act of 1934,"the report. If substantially the same information has been previously reported by the asset-backed issuer, an additionalreport of the information on this Form need not be made. Identify the form or report on which the previously reportedinformation was ﬁled. Identifying information should include a Central Index Key number, ﬁle number and date of the"
10-D,May 2019,SEC2503,Securities Exchange Act of 1934,"ing some or all of the requirements of this Form, the information called for may be incorporated by reference to suchpublished document or statement, in answer or partial answer to any item or items of this Form, provided copies thereofare ﬁled as an exhibit to the report on this Form."
10-D,May 2019,SEC2503,Securities Exchange Act of 1934,"on behalf of the issuing entity by a duly authorized representative of the servicer. If multiple servicers are involved inservicing the pool assets, a duly authorized representative of the master servicer (or entity performing the equivalentfunction) must sign if a representative of the servicer is to sign the report on behalf of the issuing entity."
10-D,May 2019,SEC2503,Securities Exchange Act of 1934,"S-T (17 CFR Part 232), except as discussed below. An issuer submitting the report in electronic format must provide thesignatures required for the report in accordance with Regulation S-T Rule 302 (17 CFR 232.302). For assistance withtechnical questions about EDGAR or to request an access code, call the EDGAR Filer Support Of ﬁce at (202) 942-8900."
10-D,May 2019,SEC2503,Securities Exchange Act of 1934,"Rule 201 or 202 (17 CFR 232.201 or 232.202), or as otherwise permitted by the Commission, eight copies of the reportmust be ﬁled with the Commission. An issuer also must ﬁle at least one complete copy of the report with each national"
10-D,May 2019,SEC2503,Securities Exchange Act of 1934,securities exchange on which any security of the issuer is listed and registered under Section 12(b) of the Act (15 U.S.C.78l(b)). At least one complete copy of the report ﬁled with the Commission and one such copy ﬁled with each exchange
10-D,May 2019,SEC2503,Securities Exchange Act of 1934,"must be manually signed. Copies not manually signed must bear typed or printed signatures. When submitting a reportin paper under a hardship exemption, an issuer must provide the legend required by Regulation S-T Rule 201(a)(2) or202(c) (17 CFR 232.201(a)(2) or 232.202(c)) on the cover page of the report. When submitting the report in electronicformat to the Commission, an issuer may submit a paper copy containing typed signatures to each national securitiesexchange in accordance with Regulation S-T Rule 302(c) (17 CFR 232.302(c))."
10-D,May 2019,SEC2503,Securities Exchange Act of 1934,"attach as an exhibit to this report the distribution report delivered to the trustee or security holders, as the case may be, pursuant to the transaction agreements for the distribution period covered by this report. Any information required by Item 1121(a), (b) and (c) of Regulation AB that is provided in the attached distribution report need not be repeated in this report. However, taken together, the attached distribution report and the information provided under this Item must contain the information required by Item 1121(a), (b) and (c) of Regulation AB. "
10-D,May 2019,SEC2503,Securities Exchange Act of 1934,Item 1100(c) of Regulation AB (17 CFR 229.1100(c)) regarding the presentation of such information in certain instances. Item 7. Change in Sponsor Interest in the Securities. Provide the information required by Item 1124 of Regulation AB (17 CFR 229.1124) with respect to the reporting period 
10-D,May 2019,SEC2503,Securities Exchange Act of 1934,"period covered by the report on this Form, but not reported, whether or not otherwise required by this Form. If disclosure of such information is made under this Item, it need not be repeated in a report on Form 8-K which would otherwise be required to be ﬁled with respect to such information or in a subsequent report on this Form. "
10-K,May 2021,SEC1673,"Form 10-K, Securities Exchange Act of 1934, Public Companies","the kind and size of paper to be used, the legibility of the report, the information to be given whenever the title of securities is required to be stated, and the ﬁ ling of the report. The de ﬁ nitions contained in Rule 12b-2 should be "
10-K,May 2021,SEC1673,"Form 10-K, Securities Exchange Act of 1934, Public Companies","the majority of the board of directors or persons performing similar functions. Where the registrant is a limited partnership, the report must be signed by the majority of the board of directors of any corporate general partner who signs the report. "
10-K,May 2021,SEC1673,"Form 10-K, Securities Exchange Act of 1934, Public Companies","statement schedules, otherwise required, shall not be omitted pursuant to this Instruction. Where information is omitted pur-suant to this Instruction, a statement shall be made that such information has been omitted and the names of the subsidiaries involved shall be separately furnished to the Commission. The Commission may, in its discretion, call for justi ﬁ cation that "
10-K,May 2021,SEC1673,"Form 10-K, Securities Exchange Act of 1934, Public Companies","istrant’s option, be incorporated by reference from the registrant’s annual report to security holders furnished to the Commission pursuant to Rule 14a-3(b) or Rule 14c-3(a) or from the registrant’s annual report to security holders, even if not furnished to the Commission pursuant to Rule 14a-3(b) or Rule 14c-3(a), provided such annual report contains the information required by Rule 14a-3."
10-K,May 2021,SEC1673,"Form 10-K, Securities Exchange Act of 1934, Public Companies","10-K, or as an amendment to the Form l0-K, not later than the end of the 120-day period. It should be noted that the information regarding executive o ﬃ  cers required by Item 401 of Regulation S-K (§ 229.401 of this chapter) may be "
10-K,May 2021,SEC1673,"Form 10-K, Securities Exchange Act of 1934, Public Companies",When the registrant combines all of the information in Parts I and II of this Form (Items 1 through 9A) by incor-poration by reference from the registrant’s annual report to security holders and all of the information in Part III of this Form (Items 10 through 14) by incorporating by reference from a de ﬁ nitive proxy statement or information 
10-K,May 2021,SEC1673,"Form 10-K, Securities Exchange Act of 1934, Public Companies","statement involving the election of directors, then, notwithstanding General Instruction C(1), this Form shall consist of the facing or cover page, those sections incorporated from the annual report to security holders, the proxy or in-formation statement, and the information, if any, required by Part IV of this Form, signatures, and a cross-reference sheet setting forth the item numbers and captions in Parts I, II and III of this Form and the page and/or pages in the referenced materials where the corresponding information appears."
10-K,May 2021,SEC1673,"Form 10-K, Securities Exchange Act of 1934, Public Companies","terial default in the payment of principal, interest, a sinking or purchase fund installment, or any other material default not cured within thirty days, with respect to any indebtedness of the registrant or its subsidiaries, and there has not been any material default in the payment of rentals under material long-term leases; "
10-K,May 2021,SEC1673,"Form 10-K, Securities Exchange Act of 1934, Public Companies",Financial Condition and Results of Operations provided that the registrant includes in the Form 10-K a manage-ment’s narrative analysis of the results of operations explaining the reasons for material changes in the amount of revenue and expense items between the most recent ﬁ scal year presented and the ﬁ scal year immediately 
10-K,May 2021,SEC1673,"Form 10-K, Securities Exchange Act of 1934, Public Companies","preceding it. Explanations of material changes should include, but not be limited to, changes in the various ele-ments which determine revenue and expense levels such as unit sales volume, prices charged and paid, produc-tion levels, production cost variances, labor costs and discretionary spending programs. In addition, the analysis should include an explanation of the e ﬀ ect of any changes in accounting principles and practices or method of "
10-K,May 2021,SEC1673,"Form 10-K, Securities Exchange Act of 1934, Public Companies","cate the general nature and scope of the business of the registrant and its subsidiaries, and in response to Item 2, Properties, such registrant only need furnish a brief description of the material properties of the registrant and its subsidiaries to the extent, in the opinion of the management, necessary to an understanding of the business done by the registrant and its subsidiaries."
10-K,May 2021,SEC1673,"Form 10-K, Securities Exchange Act of 1934, Public Companies"," (a) Item 1, Business; (b) Item 1A, Risk Factors and Item 1C, Cybersecurity; (c) Item 2, Properties; (d) Item 3, Legal Proceedings; (e) [RESERVED]; (f) Item 5, Market for Registrant’s Common Equity, Related Stockholder Matters and Issuer Purchases of Equity Securities; (g) [RESERVED]; (h) Item 7, Management’s Discussion and Analysis of Financial Condition and Results of Operations; (i) Item 7A, Quantitative and Qualitative Disclosures About Market Risk; (j) Item 8, Financial Statements and Supplementary Data; (k) Item 9, Changes in and Disagreements With Accountants on Accounting and Financial Disclosure; (l) Item 9A, Controls and Procedures and Item 9B(b), Other Information; (m) If the issuing entity does not have any executive o ﬃ  cers or directors, Item 10, Directors and Executive O ﬃ  cers of the  "
10-K,May 2021,SEC1673,"Form 10-K, Securities Exchange Act of 1934, Public Companies","in the Form 10-K the following information:  (a) Immediately after the name of the issuing entity on the cover page of the Form 10-K, as separate line items, the exact   name of the depositor as speci ﬁ ed in its charter and the exact name of the sponsor as speci ﬁ ed in its charter. Include a Central  "
10-K,May 2021,SEC1673,"Form 10-K, Securities Exchange Act of 1934, Public Companies"," Index Key number for the depositor and the issuing entity, and if available, the sponsor. (b) Item 1112(b) of Regulation AB; (c) Items 1114(b)(2) and 1115(b) of Regulation AB; (d) Item 1117 of Regulation AB; (e) Item 1119 of Regulation AB;  (f) Item 1122 of Regulation AB; and  (g) Item 1123 of Regulation AB. "
10-K,May 2021,SEC1673,"Form 10-K, Securities Exchange Act of 1934, Public Companies","           Emerging growth company  If an emerging growth company, indicate by check mark if the registrant has elected not to use the extended transition period for complying with any new or revised ﬁ nancial accounting standards provided pursuant to Section 13(a) of the Ex-"
10-K,May 2021,SEC1673,"Form 10-K, Securities Exchange Act of 1934, Public Companies",into which the document is incorporated: (1) Any annual report to security holders; (2) Any proxy or information statement; and (3) Any prospectus ﬁ led pursuant to Rule 424(b) or (c) under the Securities Act of 1933. The listed documents should 
10-K,May 2021,SEC1673,"Form 10-K, Securities Exchange Act of 1934, Public Companies","(17 CFR 229.701) as to all equity securities of the registrant sold by the registrant during the period covered by the report that were not registered under the Securities Act. If the Item 701 information previously has been included in a Quarterly Report on Form 10-Q or in a Current Report on Form 8-K (17 CFR 249.308), it need not be furnished."
10-K,May 2021,SEC1673,"Form 10-K, Securities Exchange Act of 1934, Public Companies",Item 9A. Controls and Procedures. Furnish the information required by Item 307 and 308 of Regulation S-K (§229.307 and §229.308 of this chapter).Item 9B. Other Information. (a) The registrant must disclose under this item any information required to be disclosed in a report on Form 8-K during the f ourth 
10-K,May 2021,SEC1673,"Form 10-K, Securities Exchange Act of 1934, Public Companies",Accounting Oversight Board has determined it is unable to inspect or investigate completely because of a position taken by an authority in the foreign jurisdiction must electronically submit to the Commission on a supplemental basis documentation that establishes that the registrant is not owned or controlled by a governmental entity in the foreign jurisdiction. The registrant  must 
10-M,June 2012,SEC878,Broker-Dealers,"hereby designate and appoint, without power of revocation, the United States Securities and Exchange Commission as my agent upon whom may be served all process, pleadings and other papers in any civil suit or action brought against me individually or as a partner of any partnership engaged in business as a broker or dealer, in any appropriate court in any place subject to the jurisdiction of the United States, with respect to any cause of action which:"
10-M,June 2012,SEC878,Broker-Dealers,"becomes effective pursuant to Section 15 of the Securities Exchange Act of 1934 and the rules and regulations thereunder and ending either when such registration is cancelled or revoked, or when the Commission receives a notice to withdraw from such registration, whichever is earlier."
10-M,June 2012,SEC878,Broker-Dealers,"business as a broker or dealer, by the service of process upon the Commission and the forwarding by the Commission of a copy thereof by registered mail to me at the lass address of record filed by me with the Commission."
10-M,June 2012,SEC878,Broker-Dealers,"of the Commission or to any other person designated by it for such purpose, and that the certificate of the Secretary of the Commission or of such other person reciting that said process, pleadings or other papers were received by the Commission and that a copy thereof was forwarded to me at the last address of record filed by me with the Commission shall constitute evidence of such service upon me."
10-M,June 2012,SEC878,Broker-Dealers,"* This form should be appropriately revised for use by a “managing agent” of a broker or dealer, Paragraph (d) of the rule defines a “managing agent” to mean any person, including a trustee, who directs or manages or who participates in the directing or managing of the affairs of any unincorporated organization or association which is not a partnership."
10-Q,Sept. 2021,SEC1296,"Securities Exchange Act of 1934, Public Companies","document or statement containing information meeting some or all of the requirements of Part I of this form, the information called for may be incorporated by reference from such published document or statement, in answer or partial answer to any item or items of Part I of this form, provided copies thereof are ﬁ led as an exhibit to Part I of the report on this form."
10-Q,Sept. 2021,SEC1296,"Securities Exchange Act of 1934, Public Companies","in the payment of principal, interest, a sinking or purchase fund installment, or any other material default not cured within thirty days, with respect to any indebtedness of the registrant or its subsidiaries, and there has not been any material defaul t "
10-Q,Sept. 2021,SEC1296,"Securities Exchange Act of 1934, Public Companies","Condition and Results of Operations, provided that the registrant includes in the Form 10-Q a management’s narrative analysis of the results of operations explaining the reasons for material changes in the amount of revenue and expense items between the most recent ﬁ scal year-to-date period presented and the corresponding year-to-date period in the preceding ﬁ scal year.  "
10-Q,Sept. 2021,SEC1296,"Securities Exchange Act of 1934, Public Companies","Explanations of material changes should include, but not be limited to, changes in the various elements which determine revenue and expense levels such as unit sales volume, prices charged and paid, production levels, production cost variances, labor costs and discretionary spending programs. In addition, the analysis should include an explanation of the e ﬀ ect of any "
10-Q,Sept. 2021,SEC1296,"Securities Exchange Act of 1934, Public Companies",Item 2.  Management’s Discussion and Analysis of Financial Condition and Results of Operations. Furnish the information required by Item 303 of Regulation S-K (§ 229.303 of this chapter).Item 3. Quantitative and Qualitative Disclosures About Market Risk. Furnish the information required by Item 305 of Regulation S-K (§ 229.305 of this chapter).Item 4. Controls and Procedures. Furnish the information required by Item 307 of Regulation S-K (§ 229.307 of this chapter) and Item 308(c) of Regulation S-K
